"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"B_cells","Ccr2+MHCII+MØ","Tgfb1","TGFbR1_R2",0.140973583165791,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"Ccr2+MHCII+MØ","Ccr2+MHCII+MØ","Tgfb1","TGFbR1_R2",0.132990218635797,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"DC2","Ccr2+MHCII+MØ","Tgfb1","TGFbR1_R2",0.126120927297023,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"ILC","Ccr2+MHCII+MØ","Tgfb1","TGFbR1_R2",0.176803986049294,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"Ly6ChiMo","Ccr2+MHCII+MØ","Tgfb1","TGFbR1_R2",0.214745648574006,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"Ly6CloMo","Ccr2+MHCII+MØ","Tgfb1","TGFbR1_R2",0.0338808986288875,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"MHCII+MØtr","Ccr2+MHCII+MØ","Tgfb1","TGFbR1_R2",0.131677325615033,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"MØinf","Ccr2+MHCII+MØ","Tgfb1","TGFbR1_R2",0.129328832199141,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"NK","Ccr2+MHCII+MØ","Tgfb1","TGFbR1_R2",0.135461116970827,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"Spp1+Gpnmb+MØ","Ccr2+MHCII+MØ","Tgfb1","TGFbR1_R2",0.0902767379143277,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
