"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"B_cells","CD8Tctl","Tgfb1","TGFbR1_R2",0.0480057452123003,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"CD8Tem","CD8Tctl","Tgfb1","TGFbR1_R2",0.0452118880597589,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"CD8Temra","CD8Tctl","Tgfb1","TGFbR1_R2",0.0345635425166458,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"Ccr2+MHCII+MØ","CD8Tctl","Tgfb1","TGFbR1_R2",0.0294309419448413,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"ILC","CD8Tctl","Tgfb1","TGFbR1_R2",0.141600127564951,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"MHCII+MØtr","CD8Tctl","Tgfb1","TGFbR1_R2",0.044132242524075,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"NK","CD8Tctl","Tgfb1","TGFbR1_R2",0.0450534775626323,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"Spp1+Gpnmb+MØ","CD8Tctl","Tgfb1","TGFbR1_R2",0.1121164904995,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"T","CD8Tctl","Tgfb1","TGFbR1_R2",0.0422105107994464,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"TLF+MØ","CD8Tctl","Tgfb1","TGFbR1_R2",0.0320940816700332,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"gdT","CD8Tctl","Tgfb1","TGFbR1_R2",0.108401648093167,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"B_cells","CD8Tem","Tgfb1","TGFbR1_R2",0.154957194559346,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"CD8Tem","CD8Tem","Tgfb1","TGFbR1_R2",0.146457236865818,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"CD8Temra","CD8Tem","Tgfb1","TGFbR1_R2",0.111686848676109,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"Ccr2+MHCII+MØ","CD8Tem","Tgfb1","TGFbR1_R2",0.0957167911338323,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"ILC","CD8Tem","Tgfb1","TGFbR1_R2",0.408625145082099,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"MHCII+MØtr","CD8Tem","Tgfb1","TGFbR1_R2",0.143156355854301,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"NK","CD8Tem","Tgfb1","TGFbR1_R2",0.14597348389056,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"Spp1+Gpnmb+MØ","CD8Tem","Tgfb1","TGFbR1_R2",0.325622510302174,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"T","CD8Tem","Tgfb1","TGFbR1_R2",0.13725839934905,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"TLF+MØ","CD8Tem","Tgfb1","TGFbR1_R2",0.104142967551753,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"gdT","CD8Tem","Tgfb1","TGFbR1_R2",0.325041943534384,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"B_cells","NK","Tgfb1","TGFbR1_R2",0.101490339963237,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"CD8Tem","NK","Tgfb1","TGFbR1_R2",0.0955914663207328,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"CD8Temra","NK","Tgfb1","TGFbR1_R2",0.073073570007178,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"Ccr2+MHCII+MØ","NK","Tgfb1","TGFbR1_R2",0.0622314207043076,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"ILC","NK","Tgfb1","TGFbR1_R2",0.298555206598333,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"MHCII+MØtr","NK","Tgfb1","TGFbR1_R2",0.0933116776068975,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"NK","NK","Tgfb1","TGFbR1_R2",0.0952569742513661,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"Spp1+Gpnmb+MØ","NK","Tgfb1","TGFbR1_R2",0.236429119045502,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"T","NK","Tgfb1","TGFbR1_R2",0.0892533812696575,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"TLF+MØ","NK","Tgfb1","TGFbR1_R2",0.0678591414258985,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
